Store Code,Store Name,Region,Date,Hour,Total IN,Adult IN,Child IN,Group IN,Staff IN
JP001,Palladium Mall,West,14/01/2026,17,18,13,0,2,5
JP002,Mall Of Asia,South,14/01/2026,18,9,4,2,1,3
JP001,Palladium Mall,West,14/01/2026,18,9,8,0,0,1
JP002,Mall Of Asia,South,14/01/2026,19,16,7,5,0,3
JP001,Palladium Mall,West,14/01/2026,19,9,7,0,1,2
JP002,Mall Of Asia,South,14/01/2026,20,5,5,0,0,0
JP001,Palladium Mall,West,14/01/2026,20,12,12,0,1,0
JP002,Mall Of Asia,South,14/01/2026,21,6,1,0,0,4
JP001,Palladium Mall,West,14/01/2026,21,3,3,0,0,0
JP002,Mall Of Asia,South,15/01/2026,11,2,0,0,0,2
JP001,Palladium Mall,West,15/01/2026,11,16,13,1,1,2
JP002,Mall Of Asia,South,15/01/2026,12,6,4,1,1,1
JP001,Palladium Mall,West,15/01/2026,12,9,6,0,0,3
JP002,Mall Of Asia,South,15/01/2026,13,1,0,0,0,1
JP001,Palladium Mall,West,15/01/2026,13,7,5,0,0,2
JP002,Mall Of Asia,South,15/01/2026,14,8,7,0,1,1
JP001,Palladium Mall,West,15/01/2026,14,10,10,0,3,0
JP002,Mall Of Asia,South,15/01/2026,15,8,6,1,1,1
JP001,Palladium Mall,West,15/01/2026,15,13,13,0,1,0
JP002,Mall Of Asia,South,15/01/2026,16,7,6,0,2,1
JP001,Palladium Mall,West,15/01/2026,16,17,15,0,1,2
JP002,Mall Of Asia,South,15/01/2026,17,23,16,5,2,2
JP001,Palladium Mall,West,15/01/2026,17,13,12,0,2,1
JP002,Mall Of Asia,South,15/01/2026,18,36,26,9,4,1
JP001,Palladium Mall,West,15/01/2026,18,6,4,0,1,2
JP002,Mall Of Asia,South,15/01/2026,19,19,13,6,4,0
JP001,Palladium Mall,West,15/01/2026,19,13,9,3,1,1
JP002,Mall Of Asia,South,15/01/2026,20,6,4,1,1,0
JP001,Palladium Mall,West,15/01/2026,20,16,16,0,1,0
JP002,Mall Of Asia,South,15/01/2026,21,5,3,2,1,0
JP001,Palladium Mall,West,15/01/2026,21,4,4,0,0,0
JP001,Palladium Mall,West,15/01/2026,22,6,5,1,0,0
JP002,Mall Of Asia,South,16/01/2026,11,5,4,0,0,1
JP001,Palladium Mall,West,16/01/2026,11,9,7,0,0,2
JP002,Mall Of Asia,South,16/01/2026,12,18,10,5,3,3
JP001,Palladium Mall,West,16/01/2026,12,10,10,0,2,0
JP002,Mall Of Asia,South,16/01/2026,13,9,7,2,0,0
JP001,Palladium Mall,West,16/01/2026,13,7,5,1,0,1
JP002,Mall Of Asia,South,16/01/2026,14,8,6,1,1,1
JP001,Palladium Mall,West,16/01/2026,14,10,7,0,0,3
JP002,Mall Of Asia,South,16/01/2026,15,6,1,1,0,4
JP001,Palladium Mall,West,16/01/2026,15,13,11,0,2,2
JP002,Mall Of Asia,South,16/01/2026,16,8,4,1,0,3
JP001,Palladium Mall,West,16/01/2026,16,15,11,2,1,2
JP002,Mall Of Asia,South,16/01/2026,17,7,5,0,0,2
JP001,Palladium Mall,West,16/01/2026,17,11,6,1,3,4
JP002,Mall Of Asia,South,16/01/2026,18,3,3,0,0,1
JP001,Palladium Mall,West,16/01/2026,18,5,4,0,0,1
JP002,Mall Of Asia,South,16/01/2026,19,3,2,0,0,1
JP001,Palladium Mall,West,16/01/2026,19,8,7,0,2,1
JP002,Mall Of Asia,South,16/01/2026,20,8,4,2,1,2
JP001,Palladium Mall,West,16/01/2026,20,10,6,0,1,4
JP002,Mall Of Asia,South,16/01/2026,21,6,5,0,0,1
JP001,Palladium Mall,West,16/01/2026,21,4,1,0,0,3
JP001,Palladium Mall,West,16/01/2026,22,1,1,0,0,0
JP002,Mall Of Asia,South,17/01/2026,11,9,5,2,1,2
JP001,Palladium Mall,West,17/01/2026,11,3,2,0,0,1
JP002,Mall Of Asia,South,17/01/2026,12,3,2,0,0,1
JP001,Palladium Mall,West,17/01/2026,12,5,3,1,2,1
JP002,Mall Of Asia,South,17/01/2026,13,13,7,1,1,5
JP001,Palladium Mall,West,17/01/2026,13,14,12,0,1,2
JP002,Mall Of Asia,South,17/01/2026,14,8,4,3,1,1
JP001,Palladium Mall,West,17/01/2026,14,14,12,0,2,2
JP002,Mall Of Asia,South,17/01/2026,15,8,4,1,1,3
JP001,Palladium Mall,West,17/01/2026,15,22,18,2,3,2
JP002,Mall Of Asia,South,17/01/2026,16,20,14,0,2,6
JP001,Palladium Mall,West,17/01/2026,16,22,19,2,3,1
JP002,Mall Of Asia,South,17/01/2026,17,9,6,2,1,1
JP001,Palladium Mall,West,17/01/2026,17,14,12,0,2,2
JP002,Mall Of Asia,South,17/01/2026,18,10,4,1,0,5
JP001,Palladium Mall,West,17/01/2026,18,26,25,0,3,1
JP002,Mall Of Asia,South,17/01/2026,19,8,5,2,1,1
JP001,Palladium Mall,West,17/01/2026,19,13,12,0,1,1
JP002,Mall Of Asia,South,17/01/2026,20,15,11,2,1,2
JP001,Palladium Mall,West,17/01/2026,20,12,11,0,2,1
JP002,Mall Of Asia,South,17/01/2026,21,15,10,2,3,3
JP001,Palladium Mall,West,17/01/2026,21,12,12,0,1,0
JP002,Mall Of Asia,South,18/01/2026,11,4,3,0,0,1
JP001,Palladium Mall,West,18/01/2026,11,10,9,0,0,1
JP002,Mall Of Asia,South,18/01/2026,12,8,4,3,1,1
JP001,Palladium Mall,West,18/01/2026,12,2,2,0,0,0
JP002,Mall Of Asia,South,18/01/2026,13,8,7,1,2,0
JP001,Palladium Mall,West,18/01/2026,13,18,15,1,1,2
JP002,Mall Of Asia,South,18/01/2026,14,21,19,2,6,0
JP001,Palladium Mall,West,18/01/2026,14,11,10,0,1,1
JP002,Mall Of Asia,South,18/01/2026,15,16,10,6,3,0
JP001,Palladium Mall,West,18/01/2026,15,20,14,1,2,5
JP002,Mall Of Asia,South,18/01/2026,16,21,15,5,6,1
JP001,Palladium Mall,West,18/01/2026,16,22,19,1,3,2
JP002,Mall Of Asia,South,18/01/2026,17,15,10,4,2,1
JP001,Palladium Mall,West,18/01/2026,17,19,17,1,2,1
JP002,Mall Of Asia,South,18/01/2026,18,8,5,1,1,2
JP001,Palladium Mall,West,18/01/2026,18,34,32,1,5,1
JP002,Mall Of Asia,South,18/01/2026,19,13,9,1,1,3
JP001,Palladium Mall,West,18/01/2026,19,27,23,1,0,3
JP002,Mall Of Asia,South,18/01/2026,20,13,11,1,2,1
JP001,Palladium Mall,West,18/01/2026,20,18,18,0,1,0
JP002,Mall Of Asia,South,18/01/2026,21,6,6,0,0,0
JP001,Palladium Mall,West,18/01/2026,21,12,12,0,2,0
JP002,Mall Of Asia,South,19/01/2026,11,7,5,0,0,1
JP001,Palladium Mall,West,19/01/2026,11,6,5,0,0,1
JP002,Mall Of Asia,South,19/01/2026,12,1,1,0,0,0
JP001,Palladium Mall,West,19/01/2026,12,6,6,0,1,0
JP002,Mall Of Asia,South,19/01/2026,13,6,3,0,0,3
JP001,Palladium Mall,West,19/01/2026,13,21,17,0,0,4
JP002,Mall Of Asia,South,19/01/2026,14,1,0,0,0,1
JP001,Palladium Mall,West,19/01/2026,14,4,3,0,0,1
JP002,Mall Of Asia,South,19/01/2026,15,5,2,1,0,2
JP001,Palladium Mall,West,19/01/2026,15,4,4,0,0,0
JP002,Mall Of Asia,South,19/01/2026,16,6,1,0,0,5
JP001,Palladium Mall,West,19/01/2026,16,9,9,0,2,0
JP002,Mall Of Asia,South,19/01/2026,17,4,4,0,0,0
JP001,Palladium Mall,West,19/01/2026,17,14,10,0,2,4
JP002,Mall Of Asia,South,19/01/2026,18,16,10,3,3,3
JP001,Palladium Mall,West,19/01/2026,18,10,7,0,2,3
JP002,Mall Of Asia,South,19/01/2026,19,2,2,0,0,0
JP001,Palladium Mall,West,19/01/2026,19,10,8,0,0,2
JP002,Mall Of Asia,South,19/01/2026,20,4,3,1,1,0
JP001,Palladium Mall,West,19/01/2026,20,8,5,0,1,3
JP002,Mall Of Asia,South,19/01/2026,21,8,5,0,1,3
JP001,Palladium Mall,West,19/01/2026,21,7,6,0,1,1
JP002,Mall Of Asia,South,20/01/2026,11,1,1,0,0,0
JP001,Palladium Mall,West,20/01/2026,11,9,9,0,0,0
JP002,Mall Of Asia,South,20/01/2026,12,4,2,0,0,2
JP001,Palladium Mall,West,20/01/2026,12,3,3,0,0,0
JP002,Mall Of Asia,South,20/01/2026,13,16,9,0,1,6
JP001,Palladium Mall,West,20/01/2026,13,8,6,0,0,2
JP002,Mall Of Asia,South,20/01/2026,14,9,7,0,1,2
JP001,Palladium Mall,West,20/01/2026,14,11,9,2,2,0
JP002,Mall Of Asia,South,20/01/2026,15,2,0,1,0,1
JP001,Palladium Mall,West,20/01/2026,15,12,10,1,1,1
JP002,Mall Of Asia,South,20/01/2026,16,5,3,1,0,1
JP001,Palladium Mall,West,20/01/2026,16,6,5,0,0,1
JP002,Mall Of Asia,South,20/01/2026,17,7,3,2,0,2
JP001,Palladium Mall,West,20/01/2026,17,15,10,4,2,1
JP002,Mall Of Asia,South,20/01/2026,18,9,7,0,0,2
JP001,Palladium Mall,West,20/01/2026,18,8,5,1,0,2
JP002,Mall Of Asia,South,20/01/2026,19,9,6,1,1,2
JP001,Palladium Mall,West,20/01/2026,19,7,6,0,1,1
JP002,Mall Of Asia,South,20/01/2026,20,3,3,0,0,0
JP001,Palladium Mall,West,20/01/2026,20,5,3,0,0,2
JP002,Mall Of Asia,South,20/01/2026,21,1,0,0,0,1
JP001,Palladium Mall,West,20/01/2026,21,9,9,0,1,0
JP002,Mall Of Asia,South,21/01/2026,11,5,4,0,0,0
JP001,Palladium Mall,West,21/01/2026,11,16,12,0,1,4
JP002,Mall Of Asia,South,21/01/2026,12,10,9,0,2,1
JP001,Palladium Mall,West,21/01/2026,12,4,4,0,0,0
JP002,Mall Of Asia,South,21/01/2026,13,6,5,0,0,1
JP001,Palladium Mall,West,21/01/2026,13,8,8,0,1,0
JP002,Mall Of Asia,South,21/01/2026,14,6,4,1,0,1
JP001,Palladium Mall,West,21/01/2026,14,17,13,0,1,4
JP002,Mall Of Asia,South,21/01/2026,15,2,0,0,0,2
JP001,Palladium Mall,West,21/01/2026,15,18,12,0,1,6
JP002,Mall Of Asia,South,21/01/2026,16,4,1,1,1,2
JP001,Palladium Mall,West,21/01/2026,16,13,12,0,2,1
JP002,Mall Of Asia,South,21/01/2026,17,8,5,0,0,3
JP001,Palladium Mall,West,21/01/2026,17,12,9,0,1,3
JP002,Mall Of Asia,South,21/01/2026,18,6,4,1,1,1
JP001,Palladium Mall,West,21/01/2026,18,32,27,0,0,5
JP002,Mall Of Asia,South,21/01/2026,19,4,3,1,1,0
JP001,Palladium Mall,West,21/01/2026,19,6,5,0,0,1
JP002,Mall Of Asia,South,21/01/2026,20,6,5,0,1,1
JP001,Palladium Mall,West,21/01/2026,20,11,7,0,0,4
JP002,Mall Of Asia,South,21/01/2026,21,2,1,1,0,0
JP001,Palladium Mall,West,21/01/2026,21,7,5,0,1,2
JP002,Mall Of Asia,South,22/01/2026,11,1,1,0,0,0
JP001,Palladium Mall,West,22/01/2026,11,5,4,0,0,1
JP002,Mall Of Asia,South,22/01/2026,12,9,4,2,0,2
JP001,Palladium Mall,West,22/01/2026,12,3,2,0,0,1
JP002,Mall Of Asia,South,22/01/2026,13,2,2,0,0,0
JP001,Palladium Mall,West,22/01/2026,13,16,15,1,0,0
JP002,Mall Of Asia,South,22/01/2026,14,5,4,0,1,1
JP001,Palladium Mall,West,22/01/2026,14,13,9,0,1,4
JP002,Mall Of Asia,South,22/01/2026,15,4,3,1,0,0
JP001,Palladium Mall,West,22/01/2026,15,14,11,0,0,3
JP002,Mall Of Asia,South,22/01/2026,16,5,3,0,0,2
JP001,Palladium Mall,West,22/01/2026,16,8,4,0,0,4
JP002,Mall Of Asia,South,22/01/2026,17,4,3,0,0,1
JP001,Palladium Mall,West,22/01/2026,17,28,24,0,1,4
JP002,Mall Of Asia,South,22/01/2026,18,7,3,2,1,2
JP001,Palladium Mall,West,22/01/2026,18,11,8,1,0,2
JP002,Mall Of Asia,South,22/01/2026,19,5,2,0,0,3
JP001,Palladium Mall,West,22/01/2026,19,15,13,0,1,2
JP002,Mall Of Asia,South,22/01/2026,20,13,10,1,0,2
JP001,Palladium Mall,West,22/01/2026,20,5,4,0,0,1
JP002,Mall Of Asia,South,22/01/2026,21,10,5,1,1,4
JP001,Palladium Mall,West,22/01/2026,21,2,1,0,0,1
JP002,Mall Of Asia,South,23/01/2026,11,14,5,3,0,4
JP001,Palladium Mall,West,23/01/2026,11,12,11,0,0,2
JP002,Mall Of Asia,South,23/01/2026,12,6,3,0,0,3
JP001,Palladium Mall,West,23/01/2026,12,4,3,0,0,1
JP002,Mall Of Asia,South,23/01/2026,13,5,4,0,0,1
JP001,Palladium Mall,West,23/01/2026,13,9,4,0,0,5
JP002,Mall Of Asia,South,23/01/2026,14,5,2,1,0,2
JP001,Palladium Mall,West,23/01/2026,14,12,9,0,1,3
JP002,Mall Of Asia,South,23/01/2026,15,9,6,1,1,2
JP001,Palladium Mall,West,23/01/2026,15,31,26,0,2,5
JP002,Mall Of Asia,South,23/01/2026,16,8,6,0,0,2
JP001,Palladium Mall,West,23/01/2026,16,13,11,0,1,2
JP002,Mall Of Asia,South,23/01/2026,17,11,4,3,1,4
JP001,Palladium Mall,West,23/01/2026,17,19,17,0,1,2
JP002,Mall Of Asia,South,23/01/2026,18,12,8,0,0,4
JP001,Palladium Mall,West,23/01/2026,18,24,23,0,3,1
JP002,Mall Of Asia,South,23/01/2026,19,4,2,0,0,2
JP001,Palladium Mall,West,23/01/2026,19,17,14,0,0,3
JP002,Mall Of Asia,South,23/01/2026,20,1,0,0,0,1
JP001,Palladium Mall,West,23/01/2026,20,15,13,0,1,2
JP002,Mall Of Asia,South,23/01/2026,21,9,7,0,0,2
JP001,Palladium Mall,West,23/01/2026,21,10,10,0,0,0
JP002,Mall Of Asia,South,24/01/2026,11,5,2,0,0,3
JP001,Palladium Mall,West,24/01/2026,11,7,6,0,0,1
JP002,Mall Of Asia,South,24/01/2026,12,4,2,1,0,1
JP001,Palladium Mall,West,24/01/2026,12,3,2,0,0,1
JP002,Mall Of Asia,South,24/01/2026,13,11,6,1,1,4
JP001,Palladium Mall,West,24/01/2026,13,22,18,0,3,4
JP002,Mall Of Asia,South,24/01/2026,14,6,2,1,1,3
JP001,Palladium Mall,West,24/01/2026,14,23,21,1,4,1
JP002,Mall Of Asia,South,24/01/2026,15,9,3,1,0,5
JP001,Palladium Mall,West,24/01/2026,15,12,9,0,2,3
JP002,Mall Of Asia,South,24/01/2026,16,22,12,6,3,4
JP001,Palladium Mall,West,24/01/2026,16,15,14,0,1,1
JP002,Mall Of Asia,South,24/01/2026,17,25,13,9,2,3
JP001,Palladium Mall,West,24/01/2026,17,28,23,1,6,4
JP002,Mall Of Asia,South,24/01/2026,18,22,16,6,1,0
JP001,Palladium Mall,West,24/01/2026,18,12,10,0,1,2
JP002,Mall Of Asia,South,24/01/2026,19,26,16,2,5,8
JP001,Palladium Mall,West,24/01/2026,19,17,15,1,1,1
JP002,Mall Of Asia,South,24/01/2026,20,6,4,1,2,1
JP001,Palladium Mall,West,24/01/2026,20,22,21,0,1,1
JP002,Mall Of Asia,South,24/01/2026,21,7,5,2,0,0
JP001,Palladium Mall,West,24/01/2026,21,1,1,0,0,0
JP002,Mall Of Asia,South,25/01/2026,11,4,2,1,0,1
JP001,Palladium Mall,West,25/01/2026,11,13,7,1,1,5
JP002,Mall Of Asia,South,25/01/2026,12,21,18,2,1,1
JP001,Palladium Mall,West,25/01/2026,12,14,10,0,3,4
JP002,Mall Of Asia,South,25/01/2026,13,15,11,2,3,2
JP001,Palladium Mall,West,25/01/2026,13,10,5,0,0,5
JP002,Mall Of Asia,South,25/01/2026,14,8,5,2,1,1
JP001,Palladium Mall,West,25/01/2026,14,19,15,0,3,4
JP002,Mall Of Asia,South,25/01/2026,15,28,21,4,4,3
JP001,Palladium Mall,West,25/01/2026,15,16,14,1,1,1
JP002,Mall Of Asia,South,25/01/2026,16,25,17,5,4,3
JP001,Palladium Mall,West,25/01/2026,16,26,22,2,4,2
JP002,Mall Of Asia,South,25/01/2026,17,16,13,1,3,2
JP001,Palladium Mall,West,25/01/2026,17,20,18,0,3,2
JP002,Mall Of Asia,South,25/01/2026,18,26,14,9,4,3
JP001,Palladium Mall,West,25/01/2026,18,17,14,0,0,3
JP002,Mall Of Asia,South,25/01/2026,19,13,11,1,1,1
JP001,Palladium Mall,West,25/01/2026,19,20,12,5,1,3
JP002,Mall Of Asia,South,25/01/2026,20,18,13,2,2,3
JP001,Palladium Mall,West,25/01/2026,20,15,11,2,1,2
JP002,Mall Of Asia,South,25/01/2026,21,2,0,0,0,2
JP001,Palladium Mall,West,25/01/2026,21,9,7,0,0,2
JP002,Mall Of Asia,South,26/01/2026,11,1,0,0,0,1
JP001,Palladium Mall,West,26/01/2026,11,4,4,0,0,0
JP002,Mall Of Asia,South,26/01/2026,12,12,10,0,2,2
JP001,Palladium Mall,West,26/01/2026,12,4,4,0,0,0
JP002,Mall Of Asia,South,26/01/2026,13,1,0,0,0,1
JP001,Palladium Mall,West,26/01/2026,13,18,10,1,0,7
JP002,Mall Of Asia,South,26/01/2026,14,11,6,3,1,2
JP001,Palladium Mall,West,26/01/2026,14,16,14,0,1,2
JP002,Mall Of Asia,South,26/01/2026,15,34,28,3,2,3
JP001,Palladium Mall,West,26/01/2026,15,16,13,0,2,3
JP002,Mall Of Asia,South,26/01/2026,16,13,8,4,3,1
JP001,Palladium Mall,West,26/01/2026,16,21,16,0,4,5
JP002,Mall Of Asia,South,26/01/2026,17,11,9,0,0,2
JP001,Palladium Mall,West,26/01/2026,17,37,35,0,1,2
JP002,Mall Of Asia,South,26/01/2026,18,17,8,4,0,5
JP001,Palladium Mall,West,26/01/2026,18,33,25,5,5,3
JP002,Mall Of Asia,South,26/01/2026,19,6,3,1,1,2
JP001,Palladium Mall,West,26/01/2026,19,17,16,0,1,1
JP002,Mall Of Asia,South,26/01/2026,20,6,5,0,1,1
JP001,Palladium Mall,West,26/01/2026,20,18,15,1,2,2
JP002,Mall Of Asia,South,26/01/2026,21,4,2,2,0,0
JP001,Palladium Mall,West,26/01/2026,21,0,0,0,0,0
JP002,Mall Of Asia,South,27/01/2026,11,4,1,1,0,2
JP001,Palladium Mall,West,27/01/2026,11,3,3,0,0,0
JP002,Mall Of Asia,South,27/01/2026,12,3,2,0,0,1
JP001,Palladium Mall,West,27/01/2026,12,5,5,0,2,0
JP002,Mall Of Asia,South,27/01/2026,13,3,1,1,0,1
JP001,Palladium Mall,West,27/01/2026,13,3,1,0,0,2
JP002,Mall Of Asia,South,27/01/2026,14,1,0,0,0,1
JP001,Palladium Mall,West,27/01/2026,14,12,10,0,2,2
JP002,Mall Of Asia,South,27/01/2026,15,17,12,3,4,2
JP001,Palladium Mall,West,27/01/2026,15,17,13,0,2,4
JP002,Mall Of Asia,South,27/01/2026,16,5,3,0,0,2
JP001,Palladium Mall,West,27/01/2026,16,4,3,0,0,1
JP002,Mall Of Asia,South,27/01/2026,17,2,1,0,0,1
JP001,Palladium Mall,West,27/01/2026,17,16,15,0,1,1
JP002,Mall Of Asia,South,27/01/2026,18,6,4,1,0,1
JP001,Palladium Mall,West,27/01/2026,18,11,5,0,0,6
JP002,Mall Of Asia,South,27/01/2026,19,4,3,1,1,0
JP001,Palladium Mall,West,27/01/2026,19,10,9,0,1,1
JP002,Mall Of Asia,South,27/01/2026,20,0,0,0,0,0
JP001,Palladium Mall,West,27/01/2026,20,6,6,0,0,0
JP002,Mall Of Asia,South,27/01/2026,21,0,0,0,0,0
JP001,Palladium Mall,West,27/01/2026,21,9,7,0,0,2
JP002,Mall Of Asia,South,28/01/2026,11,10,5,2,1,3
JP001,Palladium Mall,West,28/01/2026,11,14,13,0,0,1
JP002,Mall Of Asia,South,28/01/2026,12,14,12,1,1,1
JP001,Palladium Mall,West,28/01/2026,12,15,13,1,0,1
JP002,Mall Of Asia,South,28/01/2026,13,3,2,1,0,0
JP001,Palladium Mall,West,28/01/2026,13,10,8,0,1,2
JP002,Mall Of Asia,South,28/01/2026,14,9,5,0,0,4
JP001,Palladium Mall,West,28/01/2026,14,14,13,0,0,1
JP002,Mall Of Asia,South,28/01/2026,15,16,11,4,1,1
JP001,Palladium Mall,West,28/01/2026,15,10,10,0,1,0
JP002,Mall Of Asia,South,28/01/2026,16,5,3,1,0,1
JP001,Palladium Mall,West,28/01/2026,16,2,2,0,0,0
JP002,Mall Of Asia,South,28/01/2026,17,4,3,0,0,1
JP001,Palladium Mall,West,28/01/2026,17,8,6,0,0,2
JP002,Mall Of Asia,South,28/01/2026,18,8,4,0,0,4
JP001,Palladium Mall,West,28/01/2026,18,8,7,0,1,1
JP002,Mall Of Asia,South,28/01/2026,19,9,6,2,1,1
JP001,Palladium Mall,West,28/01/2026,19,14,12,1,1,1
JP002,Mall Of Asia,South,28/01/2026,20,5,4,0,1,1
JP001,Palladium Mall,West,28/01/2026,20,6,5,1,0,0
JP002,Mall Of Asia,South,28/01/2026,21,6,4,1,1,1
JP001,Palladium Mall,West,28/01/2026,21,5,4,0,0,1
JP002,Mall Of Asia,South,29/01/2026,11,6,2,1,1,3
JP001,Palladium Mall,West,29/01/2026,11,4,3,0,0,1
JP002,Mall Of Asia,South,29/01/2026,12,11,7,2,0,2
JP001,Palladium Mall,West,29/01/2026,12,8,8,0,0,0
JP002,Mall Of Asia,South,29/01/2026,13,8,5,1,1,2
JP001,Palladium Mall,West,29/01/2026,13,13,9,1,0,3
JP002,Mall Of Asia,South,29/01/2026,14,6,6,0,1,0
JP001,Palladium Mall,West,29/01/2026,14,11,8,1,2,2
JP002,Mall Of Asia,South,29/01/2026,15,8,6,1,1,1
JP001,Palladium Mall,West,29/01/2026,15,3,2,0,1,1
JP002,Mall Of Asia,South,29/01/2026,16,16,11,2,2,3
JP001,Palladium Mall,West,29/01/2026,16,8,7,0,1,1
JP002,Mall Of Asia,South,29/01/2026,17,12,9,2,2,1
JP001,Palladium Mall,West,29/01/2026,17,17,17,0,3,0
JP002,Mall Of Asia,South,29/01/2026,18,5,2,2,1,1
JP001,Palladium Mall,West,29/01/2026,18,9,9,0,0,0
